htmlentity,htmlcode,csscode,unicode,name
&dollar;,&#36;,\0024,U+0024,Dollar Sign
&cent;,&#162;,\00A2,U+00A2,Cent Sign
&pound;,&#163;,\00A3,U+00A3,Pound Sign
&curren;,&#164;,\00A4,U+00A4,Currency Sign
&yen;,&#165;,\00A5,U+00A5,Yen Sign
&copy;,&#169;,\00A9,U+00A9,Copyright Sign
&reg;,&#174;,\00AE,U+00AE,Registered Sign
&trade;,&#8482;,\2122,U+2122,Trade Mark Sign
&commat;,&#64;,\0040,U+0040,Commercial At
&Copf;,&#8450;,\2102,U+2102,Double-Struck Capital C
&incare;,&#8453;,\2105,U+2105,Care Of
&gscr;,&#8458;,\210A,U+210A,Script Small G
&hamilt;,&#8459;,\210B,U+210B,Script Capital H
&Hfr;,&#8460;,\210C,U+210C,Black-Letter Capital H
&Hopf;,&#8461;,\210D,U+210D,Double-Struck Capital H
&planckh;,&#8462;,\210E,U+210E,Planck Constant
&planck;,&#8463;,\210F,U+210F,Planck Constant Over Two Pi
&Iscr;,&#8464;,\2110,U+2110,Script Capital I
&image;,&#8465;,\2111,U+2111,Black-Letter Capital I
&Lscr;,&#8466;,\2112,U+2112,Script Capital L
&ell;,&#8467;,\2113,U+2113,Script Small L
&Nopf;,&#8469;,\2115,U+2115,Double-Struck Capital N
&numero;,&#8470;,\2116,U+2116,Numero Sign
&copysr;,&#8471;,\2117,U+2117,Sound Recording Copyright
&weierp;,&#8472;,\2118,U+2118,Script Capital P
&Popf;,&#8473;,\2119,U+2119,Double-Struck Capital P
&Qopf;,&#8474;,\211A,U+211A,Double-Struck Capital Q
&Rscr;,&#8475;,\211B,U+211B,Script Capital R
&real;,&#8476;,\211C,U+211C,Black-Letter Capital R
&Ropf;,&#8477;,\211D,U+211D,Double-Struck Capital R
&rx;,&#8478;,\211E,U+211E,Prescription Take
&Zopf;,&#8484;,\2124,U+2124,Double-Struck Capital Z
&mho;,&#8487;,\2127,U+2127,Inverted Ohm Sign
&Zfr;,&#8488;,\2128,U+2128,Black-Letter Capital Z
&iiota;,&#8489;,\2129,U+2129,Turned Greek Small Letter Iota
&bernou;,&#8492;,\212C,U+212C,Script Capital B
&Cfr;,&#8493;,\212D,U+212D,Black-Letter Capital C
&escr;,&#8495;,\212F,U+212F,Script Small E
&Escr;,&#8496;,\2130,U+2130,Script Capital E
&Fscr;,&#8497;,\2131,U+2131,Script Capital F
&Mscr;,&#8499;,\2133,U+2133,Script Capital M
&oscr;,&#8500;,\2134,U+2134,Script Small O
&alefsym;,&#8501;,\2135,U+2135,Alef Symbol
&beth;,&#8502;,\2136,U+2136,Bet Symbol
&gimel;,&#8503;,\2137,U+2137,Gimel Symbol
&daleth;,&#8504;,\2138,U+2138,Dalet Symbol
&DD;,&#8517;,\2145,U+2145,Double-Struck Italic Capital D
&dd;,&#8518;,\2146,U+2146,Double-Struck Italic Small D
&ee;,&#8519;,\2147,U+2147,Double-Struck Italic Small E
&ii;,&#8520;,\2148,U+2148,Double-Struck Italic Small I
&starf;,&#9733;,\2605,U+2605,Black Star
&star;,&#9734;,\2606,U+2606,White Star
&phone;,&#9742;,\260E,U+260E,Black Telephone
&female;,&#9792;,\2640,U+2640,Female Sign
&male;,&#9794;,\2642,U+2642,Male Sign
&spades;,&#9824;,\2660,U+2660,Black Spade Suit
&clubs;,&#9827;,\2663,U+2663,Black Club Suit
&hearts;,&#9829;,\2665,U+2665,Black Heart Suit
&diams;,&#9830;,\2666,U+2666,Black Diamond Suit
&loz;,&#9674;,\25CA,U+25CA,Lozenge
&sung;,&#9834;,\266A,U+266A,Eighth Note
&flat;,&#9837;,\266D,U+266D,Music Flat Sign
&natural;,&#9838;,\266E,U+266E,Music Natural Sign
&sharp;,&#9839;,\266F,U+266F,Music Sharp Sign
&check;,&#10003;,\2713,U+2713,Check Mark
&cross;,&#10007;,\2717,U+2717,Ballot X
&malt;,&#10016;,\2720,U+2720,Maltese Cross
&sext;,&#10038;,\2736,U+2736,Six Pointed Black Star
&VerticalSeparator;,&#10072;,\2758,U+2758,Light Vertical Bar
&lbbrk;,&#10098;,\2772,U+2772,Light Left Tortoise Shell Bracket Ornament
&rbbrk;,&#10099;,\2773,U+2773,Light Right Tortoise Shell Bracket Ornament
&excl;,&#33;,\0021,U+0021,Exclamation Mark
&num;,&#35;,\0023,U+0023,Number Sign
&percnt;,&#37;,\0025,U+0025,Percent Sign
&amp;,&#38;,\0026,U+0026,Ampersand
&lpar;,&#40;,\0028,U+0028,Left Parenthesis
&rpar;,&#41;,\0029,U+0029,Right Parenthesis
